id,id_per_aquaria,Aquarium,Gosner Stage,Tadpole Mass,Species,Leaf Litter Treatment
1,1,2,30,390,S. fuscovarius,Cerrado
2,2,2,31,484,S. fuscovarius,Cerrado
3,3,2,31,415,S. fuscovarius,Cerrado
4,4,2,31,403,S. fuscovarius,Cerrado
5,5,2,33,495,S. fuscovarius,Cerrado
6,6,2,29,377,S. fuscovarius,Cerrado
7,7,2,26,176,S. fuscovarius,Cerrado
8,8,2,31,398,S. fuscovarius,Cerrado
9,9,2,28,350,S. fuscovarius,Cerrado
10,10,2,30,365,S. fuscovarius,Cerrado
11,11,2,30,447,S. fuscovarius,Cerrado
12,12,2,26,258,S. fuscovarius,Cerrado
13,13,2,31,479,S. fuscovarius,Cerrado
14,14,2,28,328,S. fuscovarius,Cerrado
15,15,2,27,280,S. fuscovarius,Cerrado
16,16,2,32,554,S. fuscovarius,Cerrado
17,17,2,28,267,S. fuscovarius,Cerrado
18,18,2,31,399,S. fuscovarius,Cerrado
19,19,2,,,S. fuscovarius,Cerrado
20,20,2,,,S. fuscovarius,Cerrado
21,1,3,36,811,S. fuscovarius,Pasture
22,2,3,34,764,S. fuscovarius,Pasture
23,3,3,34,671,S. fuscovarius,Pasture
24,4,3,35,663,S. fuscovarius,Pasture
25,5,3,35,706,S. fuscovarius,Pasture
26,6,3,33,618,S. fuscovarius,Pasture
27,7,3,34,597,S. fuscovarius,Pasture
28,8,3,33,537,S. fuscovarius,Pasture
29,9,3,35,647,S. fuscovarius,Pasture
30,10,3,35,755,S. fuscovarius,Pasture
31,11,3,32,456,S. fuscovarius,Pasture
32,12,3,31,358,S. fuscovarius,Pasture
33,13,3,35,750,S. fuscovarius,Pasture
34,14,3,35,636,S. fuscovarius,Pasture
35,15,3,33,540,S. fuscovarius,Pasture
36,16,3,34,462,S. fuscovarius,Pasture
37,17,3,35,580,S. fuscovarius,Pasture
38,18,3,34,602,S. fuscovarius,Pasture
39,19,3,34,500,S. fuscovarius,Pasture
40,20,3,34,669,S. fuscovarius,Pasture
41,1,4,38,242,P. cuvieri,Pasture
42,2,4,40,314,P. cuvieri,Pasture
43,3,4,37,227,P. cuvieri,Pasture
44,4,4,37,230,P. cuvieri,Pasture
45,5,4,37,282,P. cuvieri,Pasture
46,6,4,37,263,P. cuvieri,Pasture
47,7,4,36,220,P. cuvieri,Pasture
48,8,4,37,215,P. cuvieri,Pasture
49,9,4,37,310,P. cuvieri,Pasture
50,10,4,37,216,P. cuvieri,Pasture
51,11,4,37,221,P. cuvieri,Pasture
52,12,4,36,177,P. cuvieri,Pasture
53,13,4,38,205,P. cuvieri,Pasture
54,14,4,39,248,P. cuvieri,Pasture
55,15,4,36,186,P. cuvieri,Pasture
56,16,4,36,156,P. cuvieri,Pasture
57,17,4,37,217,P. cuvieri,Pasture
58,18,4,37,208,P. cuvieri,Pasture
59,19,4,37,223,P. cuvieri,Pasture
60,20,4,36,188,P. cuvieri,Pasture
61,1,6,31,95,P. centralis,Cerrado
62,2,6,29,95,P. nattereri,Cerrado
63,3,6,28,72,P. nattereri,Cerrado
64,4,6,27,47,P. nattereri,Cerrado
65,5,6,28,71,P. nattereri,Cerrado
66,6,6,26,39,P. nattereri,Cerrado
67,7,6,27,53,P. nattereri,Cerrado
68,8,6,29,82,P. nattereri,Cerrado
69,9,6,28,57,P. nattereri,Cerrado
70,10,6,26,32,P. nattereri,Cerrado
71,11,6,27,40,P. nattereri,Cerrado
72,12,6,,,P. nattereri,Cerrado
73,13,6,,,P. nattereri,Cerrado
74,14,6,,,P. nattereri,Cerrado
75,15,6,,,P. nattereri,Cerrado
76,16,6,,,P. nattereri,Cerrado
77,17,6,,,P. nattereri,Cerrado
78,18,6,,,P. nattereri,Cerrado
79,19,6,,,P. nattereri,Cerrado
80,20,6,,,P. nattereri,Cerrado
81,1,7,35,925,S. fuscovarius,Sugarcane
82,2,7,34,858,S. fuscovarius,Sugarcane
83,3,7,35,948,S. fuscovarius,Sugarcane
84,4,7,35,835,S. fuscovarius,Sugarcane
85,5,7,35,737,S. fuscovarius,Sugarcane
86,6,7,35,815,S. fuscovarius,Sugarcane
87,7,7,34,738,S. fuscovarius,Sugarcane
88,8,7,36,877,S. fuscovarius,Sugarcane
89,9,7,35,898,S. fuscovarius,Sugarcane
90,10,7,35,808,S. fuscovarius,Sugarcane
91,11,7,35,849,S. fuscovarius,Sugarcane
92,12,7,32,619,S. fuscovarius,Sugarcane
